Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,tissue,treatment
SRR14537223,NA,SELEX,101,92374903,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188487,Human,53266039,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881537,Illumina HiSeq 2000,NA,GR_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,GR_Rnd3_Lib1,GR,NA,SRP319847,NA,Round-3 with Lib1
SRR14537224,NA,SELEX,101,104652261,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188567,Human,63624004,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881536,Illumina HiSeq 2000,NA,COUP-TF1_17_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,COUP-TF1_17_Rnd3_Lib1,COUP-TF1,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #17
SRR14537225,NA,SELEX,101,84044726,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188566,Human,51224230,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881535,Illumina HiSeq 2000,NA,COUP-TF1_17_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,COUP-TF1_17_Rnd2_Lib1,COUP-TF1,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #17
SRR14537226,NA,SELEX,101,43959644,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188565,Human,30720535,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881534,Illumina HiSeq 2000,NA,COUP-TF1-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,COUP-TF1-RXRA_Rnd3_Lib1,COUP-TF1:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537227,NA,SELEX,101,88652750,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188564,Human,50342370,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881533,Illumina HiSeq 2000,NA,PNR_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PNR_Rnd3_Lib1,PNR,NA,SRP319847,NA,Round-3 with Lib1
SRR14537228,NA,SELEX,101,91085638,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188563,Human,49781230,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881532,Illumina HiSeq 2000,NA,PNR_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PNR_Rnd2_Lib1,PNR,NA,SRP319847,NA,Round-2 with Lib1
SRR14537229,NA,SELEX,101,77274999,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188562,Human,43426410,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881531,Illumina HiSeq 2000,NA,TLX_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,TLX_Rnd3_Lib1,TLX,NA,SRP319847,NA,Round-3 with Lib1
SRR14537230,NA,SELEX,101,91976862,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188561,Human,53045727,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881530,Illumina HiSeq 2000,NA,TLX_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,TLX_Rnd2_Lib1,TLX,NA,SRP319847,NA,Round-2 with Lib1
SRR14537231,NA,SELEX,101,30035683,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188560,Human,20726179,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881529,Illumina HiSeq 2000,NA,TLX-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,TLX-RXRA_Rnd3_Lib1,TLX:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537232,NA,SELEX,101,126373220,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188559,Human,73346531,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881528,Illumina HiSeq 2000,NA,SF1_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,SF1_Rnd3_Lib1,SF1,NA,SRP319847,NA,Round-3 with Lib1
SRR14537233,NA,SELEX,101,6001723,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188558,Human,3683898,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881527,Illumina HiSeq 2000,NA,SF1_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,SF1_Rnd2_Lib1,SF1,NA,SRP319847,NA,Round-2 with Lib1
SRR14537234,NA,SELEX,101,103911224,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188486,Human,62326339,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881526,Illumina HiSeq 2000,NA,GR_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,GR_Rnd2_Lib1,GR,NA,SRP319847,NA,Round-2 with Lib1
SRR14537235,NA,SELEX,101,19764993,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188557,Human,12499023,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881525,Illumina HiSeq 2000,NA,SF1-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,SF1-RXRA_Rnd3_Lib1,SF1:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537236,NA,SELEX,101,100002726,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188556,Human,58012895,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881524,Illumina HiSeq 2000,NA,LRH1_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,LRH1_Rnd3_Lib1,LRH1,NA,SRP319847,NA,Round-3 with Lib1
SRR14537237,NA,SELEX,101,78772728,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188555,Human,47832726,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881523,Illumina HiSeq 2000,NA,LRH1_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,LRH1_Rnd2_Lib1,LRH1,NA,SRP319847,NA,Round-2 with Lib1
SRR14537238,NA,SELEX,101,21582084,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188554,Human,14710272,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881522,Illumina HiSeq 2000,NA,LRH1-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,LRH1-RXRA_Rnd3_Lib1,LRH1:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537239,NA,SELEX,101,95577714,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188553,Human,53054555,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881521,Illumina HiSeq 2000,NA,TR4_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,TR4_Rnd3_Lib1,TR4,NA,SRP319847,NA,Round-3 with Lib1
SRR14537240,NA,SELEX,101,80013614,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188552,Human,45454331,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881520,Illumina HiSeq 2000,NA,TR4_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,TR4_Rnd2_Lib1,TR4,NA,SRP319847,NA,Round-2 with Lib1
SRR14537241,NA,SELEX,101,92424090,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188551,Human,52542105,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881519,Illumina HiSeq 2000,NA,TR2_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,TR2_Rnd3_Lib1,TR2,NA,SRP319847,NA,Round-3 with Lib1
SRR14537242,NA,SELEX,101,81813939,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188550,Human,49081218,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881518,Illumina HiSeq 2000,NA,RORC_16_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RORC_16_Rnd3_Lib1,RORC,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #16
SRR14537243,NA,SELEX,101,86073816,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188549,Human,47645066,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881517,Illumina HiSeq 2000,NA,RORC_16_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RORC_16_Rnd2_Lib1,RORC,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #16
SRR14537244,NA,SELEX,101,99883748,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188548,Human,55944192,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881516,Illumina HiSeq 2000,NA,RORC_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RORC_Rnd3_Lib1,RORC,NA,SRP319847,NA,Round-3 with Lib1
SRR14537245,NA,SELEX,101,88505391,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188485,Human,50754857,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881515,Illumina HiSeq 2000,NA,PGR_2_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PGR_2_Rnd3_Lib1,PGR,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #2
SRR14537246,NA,SELEX,101,82902517,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188547,Human,50000968,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881514,Illumina HiSeq 2000,NA,RORC_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RORC_Rnd2_Lib1,RORC,NA,SRP319847,NA,Round-2 with Lib1
SRR14537247,NA,SELEX,101,37739054,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188546,Human,24956111,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881513,Illumina HiSeq 2000,NA,RORC-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RORC-RXRA_Rnd3_Lib1,RORC:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537248,NA,SELEX,101,81656884,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188545,Human,45887405,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881512,Illumina HiSeq 2000,NA,PPARG_15_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PPARG_15_Rnd3_Lib1,PPARG,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #15
SRR14537249,NA,SELEX,101,93576803,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188544,Human,52433960,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881511,Illumina HiSeq 2000,NA,PPARG_14_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PPARG_14_Rnd3_Lib1,PPARG,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #14
SRR14537250,NA,SELEX,101,106626003,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188543,Human,60728690,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881510,Illumina HiSeq 2000,NA,PPARG_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PPARG_Rnd3_Lib1,PPARG,NA,SRP319847,NA,Round-3 with Lib1
SRR14537251,NA,SELEX,101,134701276,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188542,Human,81116131,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881509,Illumina HiSeq 2000,NA,PPARG_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PPARG_Rnd2_Lib1,PPARG,NA,SRP319847,NA,Round-2 with Lib1
SRR14537252,NA,SELEX,101,94388641,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188541,Human,55307015,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881508,Illumina HiSeq 2000,NA,PPARD_14_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PPARD_14_Rnd3_Lib1,PPARD,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #14
SRR14537253,NA,SELEX,101,107238366,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188540,Human,59845004,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881507,Illumina HiSeq 2000,NA,PPARD_13_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PPARD_13_Rnd3_Lib1,PPARD,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #13
SRR14537254,NA,SELEX,101,94975552,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188539,Human,58075742,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881506,Illumina HiSeq 2000,NA,PPARD_13_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PPARD_13_Rnd2_Lib1,PPARD,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #13
SRR14537255,NA,SELEX,101,109545206,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188538,Human,62908486,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881505,Illumina HiSeq 2000,NA,PPARD_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PPARD_Rnd3_Lib1,PPARD,NA,SRP319847,NA,Round-3 with Lib1
SRR14537256,NA,SELEX,101,63545867,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188484,Human,37993742,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881504,Illumina HiSeq 2000,NA,PGR_2_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PGR_2_Rnd2_Lib1,PGR,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #2
SRR14537257,NA,SELEX,101,26757223,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188537,Human,18267709,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881503,Illumina HiSeq 2000,NA,LXRB-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,LXRB-RXRA_Rnd3_Lib1,LXRB:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537258,NA,SELEX,101,128357062,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188536,Human,73962707,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881502,Illumina HiSeq 2000,NA,LXRA_12_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,LXRA_12_Rnd3_Lib1,LXRA,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #12
SRR14537259,NA,SELEX,101,94587611,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188535,Human,54215071,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881501,Illumina HiSeq 2000,NA,LXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,LXRA_Rnd3_Lib1,LXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537260,NA,SELEX,101,101791133,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188534,Human,57512724,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881500,Illumina HiSeq 2000,NA,FXR_11_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,FXR_11_Rnd3_Lib1,FXR,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #11
SRR14537261,NA,SELEX,101,123395841,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188533,Human,71053486,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881499,Illumina HiSeq 2000,NA,FXR_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,FXR_Rnd3_Lib1,FXR,NA,SRP319847,NA,Round-3 with Lib1
SRR14537262,NA,SELEX,101,53169632,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188532,Human,30212631,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881498,Illumina HiSeq 2000,NA,VDR_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,VDR_Rnd3_Lib1,VDR,NA,SRP319847,NA,Round-3 with Lib1
SRR14537263,NA,SELEX,101,70419220,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188531,Human,41605972,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881497,Illumina HiSeq 2000,NA,VDR_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,VDR_Rnd2_Lib1,VDR,NA,SRP319847,NA,Round-2 with Lib1
